gene_symbol,chromosome,start,species
SI:CH211-134C9.2,1,21721651,zebrafish
PAX5,1,21731382,zebrafish
TMCO3,1,218524,zebrafish
MELK,1,21861387,zebrafish
FRMPD1A,1,21893289,zebrafish
DNAH6,1,22003173,zebrafish
RAP2AB,1,2222363,zebrafish
SI:DKEY-234D14.2,1,22427135,zebrafish
KPNB3,1,2260407,zebrafish
UCHL1,1,22647756,zebrafish
ANXA5B,1,22654875,zebrafish
FGFBP1B,1,22677429,zebrafish
BX908795.1,1,22842935,zebrafish
SMIM18,1,22857753,zebrafish
ADGRL3.1,1,22945267,zebrafish
TFDP1B,1,230363,zebrafish
SI:DKEY-92J12.5,1,23162124,zebrafish
FARP1,1,2321384,zebrafish
CR759875.1,1,23261857,zebrafish
RFC1,1,23267380,zebrafish
SI:CH211-235F1.3,1,2331637,zebrafish
RHOH,1,23398405,zebrafish
CHRNA9,1,23406403,zebrafish
SI:DKEYP-26A9.2,1,23489269,zebrafish
FAM184B,1,23506525,zebrafish
LCORL,1,23585030,zebrafish
SI:DKEYP-26A9.7,1,23597309,zebrafish
SLIT2,1,23784905,zebrafish
LRBA,1,23919418,zebrafish
MAB21L2,1,24076243,zebrafish
PIMR178,1,24365582,zebrafish
GGACT.3,1,2447025,zebrafish
GGACT.2,1,2450140,zebrafish
GRK1A,1,245076,zebrafish
GGACT.1,1,2454094,zebrafish
FBXW7,1,24870661,zebrafish
TMEM154,1,25165263,zebrafish
MND1,1,25178112,zebrafish
TMEM131L,1,25218177,zebrafish
TRIM2A,1,25322445,zebrafish
FHDC1,1,25401342,zebrafish
CU651657.1,1,25585,zebrafish
SI:DKEY-30K22.7,1,25624758,zebrafish
USP53B,1,25897231,zebrafish
MYOZ2B,1,25918274,zebrafish
SYNPO2B,1,25959084,zebrafish
CENPE,1,260039,zebrafish
SI:CH211-145B13.5,1,26011479,zebrafish
BX323448.1,1,26012668,zebrafish
SI:CH211-145B13.6,1,26025420,zebrafish
GPANK1,1,26036123,zebrafish
PDCD4A,1,26046148,zebrafish
MXD4,1,26071869,zebrafish
NDUFB6,1,26099250,zebrafish
TOPORSA,1,26105141,zebrafish
MTAP,1,26110985,zebrafish
CDKN2A/B,1,26127818,zebrafish
CXXC4,1,26289358,zebrafish
TET2,1,26356205,zebrafish
PPA2,1,26391755,zebrafish
ARHGEF38,1,26411496,zebrafish
INTS12,1,26438598,zebrafish
G3BP2,1,26445615,zebrafish
USO1,1,26467232,zebrafish
SI:CH211-202N12.2,1,26538446,zebrafish
CORO2A,1,26622214,zebrafish
ANP32B,1,26660369,zebrafish
HEMGN,1,26668000,zebrafish
TRMO,1,26670847,zebrafish
SI:DKEY-25O16.4,1,26677406,zebrafish
FOXE1,1,26701866,zebrafish
SH3GL2A,1,26741744,zebrafish
CNTLN,1,26821963,zebrafish
BNC2,1,27052530,zebrafish
GPC6A,1,2712956,zebrafish
SI:CH211-127N13.2,1,27530825,zebrafish
EED,1,27690,zebrafish
SI:DKEY-29D5.1,1,27713380,zebrafish
SI:DKEY-29D5.2,1,27738647,zebrafish
PSPC1,1,27808916,zebrafish
DNAJB14,1,27867706,zebrafish
SUGT1,1,27977297,zebrafish
CHST10,1,28031892,zebrafish
SNAPC3,1,28067771,zebrafish
PSIP1A,1,28089703,zebrafish
SI:CH1073-440B2.1,1,28392071,zebrafish
FO907124.1,1,28594809,zebrafish
EDNRBA,1,28624186,zebrafish
GK3P,1,28724041,zebrafish
TIMMDC1,1,28832671,zebrafish
POGLUT1,1,28874399,zebrafish
PWP2H,1,28898945,zebrafish
HSF2BP,1,29102011,zebrafish
ANKRD10A,1,29140884,zebrafish
CARS2,1,29183962,zebrafish
IRS2A,1,29211540,zebrafish
LIG4,1,29267841,zebrafish
FAM155A,1,29281764,zebrafish
SI:DKEY-228L14.1,1,29515160,zebrafish
SI:DKEY-1H24.6,1,29653947,zebrafish
SPP2,1,29743448,zebrafish
GPR183B,1,30551777,zebrafish
MZT1,1,30719817,zebrafish
GPC5A,1,3100244,zebrafish
PPP1R9ALB,1,31072818,zebrafish
EEF1A1L2,1,31113951,zebrafish
KCNQ5B,1,31135679,zebrafish
GAS6,1,312784,zebrafish
CENPK,1,31509028,zebrafish
LBX1B,1,31531990,zebrafish
SLC2A15B,1,31573225,zebrafish
FGF8B,1,31643223,zebrafish
DPCD,1,31654264,zebrafish
POLL,1,31658011,zebrafish
WBP1LB,1,31674297,zebrafish
AS3MT,1,31706668,zebrafish
CNNM2B,1,31725301,zebrafish
NT5C2B,1,31809185,zebrafish
INAB,1,31864404,zebrafish
ANOS1A,1,31942961,zebrafish
BX901898.2,1,32013688,zebrafish
STS,1,32054159,zebrafish
NLGN4XA,1,32521469,zebrafish
ZGC:174320,1,32791920,zebrafish
PRKX,1,33217911,zebrafish
MXRA5A,1,33322555,zebrafish
GYG2,1,33336923,zebrafish
CD99,1,33353174,zebrafish
DHRSX,1,33401774,zebrafish
CREB1A,1,33548388,zebrafish
CHMP2BB,1,33558555,zebrafish
HTR1FB,1,33634186,zebrafish
CLDNG,1,33645331,zebrafish
ZNF654,1,33647682,zebrafish
ARL13B,1,33668244,zebrafish
NSUN3,1,33697170,zebrafish
EPHA6,1,33969015,zebrafish
SLC5A7A,1,34243650,zebrafish
SI:DKEY-24H22.5,1,34321574,zebrafish
PROS1,1,343292,zebrafish
LMO7B,1,34428322,zebrafish
PIBF1,1,34616056,zebrafish
GPALPP1,1,34685470,zebrafish
GTF2F2A,1,34695378,zebrafish
CR339054.7,1,34696503,zebrafish
TPT1,1,34711342,zebrafish
SI:DKEY-151M22.8,1,34748695,zebrafish
ZGC:172122,1,34763543,zebrafish
BX897691.1,1,35110265,zebrafish
SC:D189,1,35194454,zebrafish
USP38,1,35473219,zebrafish
GAB1,1,35495368,zebrafish
SI:DKEY-27H10.2,1,35662474,zebrafish
RASA3,1,357518,zebrafish
SI:CH211-194G2.4,1,35862550,zebrafish
BX276105.1,1,35949269,zebrafish
ZGC:152968,1,35985919,zebrafish
ZNF827,1,36022496,zebrafish
BX324156.2,1,36188184,zebrafish
LSM6,1,36194781,zebrafish
POU4F2,1,36437585,zebrafish
SI:CH211-163G19.2,1,36447498,zebrafish
HIKESHI,1,36552,zebrafish
PRMT9,1,36746238,zebrafish
ARHGAP10,1,36772348,zebrafish
DCLK2A,1,37196106,zebrafish
FAM193A,1,37312580,zebrafish
TNIP2,1,37372919,zebrafish
SCPP1,1,37379063,zebrafish
SPARCL1,1,37391716,zebrafish
SI:DKEYP-13D11.1,1,37697381,zebrafish
SI:DKEY-6F10.4,1,37701261,zebrafish
GALNTL6,1,37752171,zebrafish
GALNT7,1,38142354,zebrafish
CU462871.1,1,38151262,zebrafish
HMGB2A,1,38169512,zebrafish
HAND2,1,38193147,zebrafish
FBXO8,1,38346043,zebrafish
CEP44,1,38362412,zebrafish
HPGD,1,38398696,zebrafish
GLRA3,1,38416106,zebrafish
GPM6AB,1,38649141,zebrafish
WDR17,1,38776294,zebrafish
ASB5B,1,38807254,zebrafish
SPCS3,1,38818268,zebrafish
VEGFC,1,38850830,zebrafish
CU915762.1,1,38858399,zebrafish
TMEM39A,1,39325,zebrafish
TENM3,1,39597809,zebrafish
DCTD,1,39813229,zebrafish
IRF2A,1,39865753,zebrafish
TMEM134,1,39878634,zebrafish
STOX2A,1,39901851,zebrafish
ING2,1,39981451,zebrafish
SOD3B,1,39990547,zebrafish
AIP,1,39995008,zebrafish
CDK2AP2,1,40010103,zebrafish
SI:DKEY-117M1.4,1,40057412,zebrafish
CNTF,1,40095123,zebrafish
SI:CH211-113E8.11,1,40107811,zebrafish
SI:CH211-113E8.10,1,40128948,zebrafish
SI:CH211-113E8.9,1,40156908,zebrafish
AL953865.1,1,40181404,zebrafish
SI:CH211-113E8.5,1,40199074,zebrafish
TESK1,1,40218677,zebrafish
TXN,1,40263671,zebrafish
VWA10.1,1,40291054,zebrafish
VWA10.2,1,40308238,zebrafish
MAML3,1,40352827,zebrafish
SCOCA,1,40566998,zebrafish
CLGN,1,40572757,zebrafish
NAA15B,1,40613297,zebrafish
CU550714.1,1,40724140,zebrafish
ZGC:153642,1,40733921,zebrafish
HTRA3A,1,40740951,zebrafish
GPR78A,1,40760448,zebrafish
CPZ,1,40801448,zebrafish
SLITRK6,1,4101741,zebrafish
DOK7,1,41155671,zebrafish
RGS12B,1,41214653,zebrafish
HTT,1,41293964,zebrafish
SI:CH211-89O9.4,1,41454210,zebrafish
PAIP2B,1,41466011,zebrafish
DOK1A,1,41478345,zebrafish
SI:CH211-89O9.6,1,41487400,zebrafish
DTX4B,1,41498697,zebrafish
SI:DKEY-56E3.2,1,41588170,zebrafish
SI:DKEY-56E3.3,1,41596099,zebrafish
MOGS,1,41609676,zebrafish
FBXO41,1,41690402,zebrafish
RNF24,1,41783365,zebrafish
SMOX,1,41854298,zebrafish
SI:DKEY-37G12.1,1,41886830,zebrafish
TPP2,1,418869,zebrafish
ADRA1D,1,41957210,zebrafish
SI:CH211-71K14.1,1,42281308,zebrafish
LRRTM1,1,42776942,zebrafish
CTNNA2,1,42874410,zebrafish
SUCLG1,1,43652480,zebrafish
CISD2,1,43686335,zebrafish
SLC9B2,1,43711759,zebrafish
BDH2,1,43714424,zebrafish
TACR3A,1,43806648,zebrafish
CNGA1A,1,43894525,zebrafish
ENAM,1,43901966,zebrafish
SCPP5,1,43910360,zebrafish
SCPP7,1,43917934,zebrafish
AMBN,1,43926153,zebrafish
SI:DKEY-22I16.7,1,43945629,zebrafish
ODAM,1,43958198,zebrafish
SCPP9,1,43969800,zebrafish
SI:DKEY-22I16.9,1,43973880,zebrafish
CR385050.1,1,43985417,zebrafish
ZGC:66472,1,43988715,zebrafish
SI:DKEY-22I16.10,1,44003654,zebrafish
SI:CH73-109D9.1,1,44011472,zebrafish
SI:CH73-109D9.3,1,44027611,zebrafish
SI:CH73-109D9.2,1,44040211,zebrafish
SI:CH73-109D9.4,1,44053641,zebrafish
CU915778.1,1,44056129,zebrafish
VWA11,1,44074445,zebrafish
CABP2A,1,44127292,zebrafish
SLC43A3A,1,44141758,zebrafish
CTNND1,1,44196236,zebrafish
SI:CH211-165A10.9,1,44236341,zebrafish
SI:DKEY-59P5.2,1,44239558,zebrafish
SI:CH211-165A10.11,1,44246467,zebrafish
SI:CH211-165A10.10,1,44249616,zebrafish
SI:CH211-165A10.8,1,44256883,zebrafish
SI:DKEY-59P5.1,1,44260085,zebrafish
SI:CH211-165A10.1,1,44336897,zebrafish
CT033803.2,1,44340124,zebrafish
SI:CH211-165A10.3,1,44347388,zebrafish
CT033803.1,1,44350628,zebrafish
SI:CH211-165A10.5,1,44360973,zebrafish
CT583626.1,1,44374034,zebrafish
TIMM10,1,44390470,zebrafish
UNC93B1,1,44396048,zebrafish
CRYBA1L2,1,44421920,zebrafish
CRYBB1L2,1,44442140,zebrafish
RTN4RL2A,1,44491898,zebrafish
ZDHHC5A,1,44540413,zebrafish
TMX2B,1,44569282,zebrafish
MED19B,1,44582369,zebrafish
SLC43A1B,1,44591492,zebrafish
SI:DKEY-28B4.8,1,44653476,zebrafish
SI:DKEY-28B4.7,1,44707054,zebrafish
SSRP1B,1,44711446,zebrafish
P2RX3B,1,44746154,zebrafish
SI:DKEY-9I23.4,1,44767657,zebrafish
SI:DKEY-9I23.5,1,44780849,zebrafish
SI:DKEY-9I23.6,1,44784793,zebrafish
TMEM187,1,44800392,zebrafish
SI:DKEY-9I23.8,1,44802794,zebrafish
NDUFS8A,1,44814322,zebrafish
STX3,1,44826593,zebrafish
KDM2AA,1,44838706,zebrafish
ILDR1A,1,44839,zebrafish
TCIRG1A,1,44870880,zebrafish
WU:FC21G02,1,44911405,zebrafish
SI:DKEY-9I23.15,1,44925422,zebrafish
SI:DKEY-9I23.14,1,44930457,zebrafish
TMEM176,1,44935442,zebrafish
SI:DKEY-9I23.16,1,44941031,zebrafish
VPS37C,1,44950170,zebrafish
TMEM132A,1,44992207,zebrafish
DNAJA1,1,45002971,zebrafish
SMU1B,1,45012391,zebrafish
RPS6,1,45043767,zebrafish
BTR01,1,45056371,zebrafish
SI:CH211-151P13.8,1,45085194,zebrafish
MUC13A,1,45121393,zebrafish
SI:CH211-239F4.6,1,45138905,zebrafish
MUCMS1,1,45149844,zebrafish
ZGC:111983,1,45176403,zebrafish
DDX39AA,1,45205920,zebrafish
EVI5L,1,45217425,zebrafish
SI:CH73-90K17.1,1,45316063,zebrafish
EMP1,1,45323400,zebrafish
ZGC:101679,1,45332829,zebrafish
SI:CH211-243A20.4,1,45341934,zebrafish
SI:CH211-243A20.3,1,45351890,zebrafish
GRIN2BB,1,45372562,zebrafish
ATF7IP,1,45570567,zebrafish
SEPT3,1,45616067,zebrafish
BX511120.2,1,45644345,zebrafish
SERHL,1,45650285,zebrafish
TRAPPC5,1,45663807,zebrafish
MCOLN1A,1,45671687,zebrafish
SI:CH211-214C7.4,1,45707219,zebrafish
SI:CH211-214C7.5,1,45750063,zebrafish
PKN1A,1,45754868,zebrafish
MAP2K7,1,45839948,zebrafish
PNPLA6,1,45866692,zebrafish
LIPT1,1,45922699,zebrafish
EIF5B,1,45925150,zebrafish
ARHGEF7B,1,45969240,zebrafish
SI:CH211-138G9.2,1,46026457,zebrafish
SOX1B,1,46194333,zebrafish
SI:CH211-138G9.3,1,46238774,zebrafish
ATP11A,1,46273552,zebrafish
SI:BUSM1-105L16.2,1,46500436,zebrafish
MCF2LA,1,46509176,zebrafish
CAB39L,1,46598502,zebrafish
CDADC1,1,46617006,zebrafish
RCBTB1,1,46636263,zebrafish
ARL11,1,46652615,zebrafish
EBPL,1,46660213,zebrafish
KPNA3,1,46666696,zebrafish
ZGC:92518,1,466780,zebrafish
SPRYD7A,1,46710647,zebrafish
SI:CH73-160H15.3,1,46830809,zebrafish
AGPAT3,1,46854077,zebrafish
PDXKB,1,46888033,zebrafish
TMPRSS3B,1,46948010,zebrafish
PKNOX1.2,1,46964027,zebrafish
SI:DKEY-22N8.3,1,46985884,zebrafish
ITSN1,1,46999751,zebrafish
CRYZL1,1,47091468,zebrafish
SETD4,1,47106268,zebrafish
MHC1ZEA,1,47120033,zebrafish
MHC1ZCA,1,47142925,zebrafish
MHC1ZBA,1,47155424,zebrafish
CBR1,1,47165988,zebrafish
MORC3B,1,47178529,zebrafish
BCL9,1,47391404,zebrafish
GJA5B,1,47414734,zebrafish
ERCC5,1,474287,zebrafish
GJA8B,1,47446032,zebrafish
FSTL1A,1,47459723,zebrafish
LRRC58A,1,47486104,zebrafish
STN1,1,47499888,zebrafish
SH3PXD2AA,1,47585701,zebrafish
NEURL1AA,1,47701924,zebrafish
CFAP58,1,47831619,zebrafish
SORCS3,1,48256950,zebrafish
LO017711.1,1,48581374,zebrafish
SI:CH211-112B1.2,1,48921944,zebrafish
CXCL18B,1,49222164,zebrafish
SI:CH73-6K14.2,1,49245229,zebrafish
CALY,1,49266886,zebrafish
MSX1B,1,49352900,zebrafish
SI:DKEYP-80C12.8,1,49357723,zebrafish
GSK3BB,1,49370549,zebrafish
TAF5,1,49415281,zebrafish
ATP5MD,1,49432157,zebrafish
PDCD11,1,49435017,zebrafish
ZGC:175214,1,49481203,zebrafish
CALHM1,1,49501171,zebrafish
ITPRIP,1,49510209,zebrafish
ZP3C,1,49514224,zebrafish
SI:CH211-281G13.5,1,49525096,zebrafish
SLC47A2.2,1,49532662,zebrafish
SI:CH211-281G13.4,1,49547045,zebrafish
COL17A1A,1,49568335,zebrafish
SLKB,1,49606518,zebrafish
BLZF1,1,496268,zebrafish
TSGA10,1,49652967,zebrafish
SI:CH211-149L1.2,1,49686408,zebrafish
LEF1,1,49814942,zebrafish
HADH,1,49909672,zebrafish
CYP2U1,1,49923402,zebrafish
SGMS2A,1,49933652,zebrafish
GSTCD,1,49951707,zebrafish
NPNTA,1,50085640,zebrafish
BX537118.1,1,50159645,zebrafish
TBCK,1,50198800,zebrafish
AIMP1A,1,50293938,zebrafish
DKK2,1,50392716,zebrafish
PAPSS1,1,50487586,zebrafish
PKD2,1,50538839,zebrafish
ABCG2D,1,50566256,zebrafish
PPM1K,1,50594175,zebrafish
SI:CH73-190M4.1,1,50613868,zebrafish
HERC3,1,50639416,zebrafish
FAM13A,1,50694971,zebrafish
CABZ01031870.1,1,50773727,zebrafish
ZGC:154142,1,50794669,zebrafish
SI:DKEYP-123H10.2,1,50847783,zebrafish
TRMT10C,1,509072,zebrafish
OTX2A,1,50921266,zebrafish
MDH1AA,1,50968908,zebrafish
UGP2A,1,50997156,zebrafish
SPAST,1,51021279,zebrafish
DPY30,1,51039604,zebrafish
PSEN2,1,51048975,zebrafish
SRD5A2A,1,51066782,zebrafish
JAG1A,1,51107694,zebrafish
BTBD3A,1,51191049,zebrafish
ESF1,1,51202984,zebrafish
NDUFAF5,1,51221320,zebrafish
KIF16BA,1,51232409,zebrafish
MAST1A,1,51329069,zebrafish
ATG4DA,1,51391082,zebrafish
TXNL4B,1,513986,zebrafish
ACTR2A,1,51407520,zebrafish
SPRED2A,1,51449652,zebrafish
MEIS1A,1,51496862,zebrafish
ETAA1,1,51537250,zebrafish
PPP3R1B,1,51557789,zebrafish
CNRIP1A,1,51593884,zebrafish
FBXO48,1,51608742,zebrafish
ZGC:165656,1,51615672,zebrafish
PROKR1A,1,51673028,zebrafish
SNRPB2,1,51702088,zebrafish
RNASEH2A,1,51712870,zebrafish
PRDX2,1,51721851,zebrafish
JUNBA,1,51733467,zebrafish
DAND5,1,51827046,zebrafish
SI:CH73-41E3.7,1,518853,zebrafish
NFIXA,1,51896147,zebrafish
RAD23AA,1,52111273,zebrafish
BX901942.2,1,52121918,zebrafish
RNF11A,1,52130213,zebrafish
GET3,1,52137581,zebrafish
BEST2,1,52162642,zebrafish
RAB3DA,1,52181663,zebrafish
PLD6,1,52203009,zebrafish
CNN1A,1,52214895,zebrafish
SI:DKEY-121B10.7,1,52264131,zebrafish
SI:CH211-217K17.8,1,52392511,zebrafish
SI:CH211-217K17.9,1,52398205,zebrafish
ZGC:194101,1,52429810,zebrafish
SI:CH211-217K17.12,1,52433847,zebrafish
SI:CH211-217K17.11,1,52441080,zebrafish
SI:CH211-217K17.10,1,52446149,zebrafish
SI:CH211-217K17.7,1,52452010,zebrafish
GLB1,1,52462068,zebrafish
CLDND1B,1,52481332,zebrafish
MRPL16,1,524821,zebrafish
ACY3.2,1,52490487,zebrafish
ACY3.1,1,52499412,zebrafish
TACR3L,1,52518176,zebrafish
ABCA1A,1,52560549,zebrafish
SLC44A1A,1,52632856,zebrafish
APTX,1,52655429,zebrafish
OSBP,1,52690448,zebrafish
CABZ01021532.1,1,52735484,zebrafish
WU:FC75A09,1,52754085,zebrafish
SPRY2,1,5275811,zebrafish
PATL1,1,52763979,zebrafish
SMARCA5,1,52792439,zebrafish
INPP4B,1,52953423,zebrafish
BX957281.1,1,53221858,zebrafish
IL15,1,53234693,zebrafish
ZNF330,1,53273463,zebrafish
MRPL39,1,532766,zebrafish
RNF150A,1,53279861,zebrafish
UCP1,1,53377432,zebrafish
ELMOD2,1,53406727,zebrafish
ZGC:66455,1,53454741,zebrafish
B3GNT2A,1,53475074,zebrafish
COMMD1,1,53490669,zebrafish
SI:CH211-213B8.4,1,53515089,zebrafish
USP34,1,53568296,zebrafish
NDFIP2,1,5363569,zebrafish
XPO1A,1,53657337,zebrafish
FAM161A,1,53686995,zebrafish
CCT4,1,53701801,zebrafish
PUS10,1,53714734,zebrafish
AKT3B,1,53735652,zebrafish
IFNGR1,1,53842344,zebrafish
LTV1,1,53865677,zebrafish
CAPN9,1,53881844,zebrafish
TAF5L,1,53911834,zebrafish
NUP133,1,53919110,zebrafish
ACTA1A,1,53945934,zebrafish
CCSAPA,1,53954235,zebrafish
RHOU,1,53983036,zebrafish
DLA,1,54013465,zebrafish
TUBA8L2,1,5402476,zebrafish
TRIOBPA,1,54037077,zebrafish
SMDT1B,1,54062510,zebrafish
DCAF15,1,54069466,zebrafish
RFX1B,1,54091943,zebrafish
RLN3B,1,54115839,zebrafish
LO017722.1,1,54124209,zebrafish
TNPO2,1,54137089,zebrafish
CABZ01067151.1,1,54154230,zebrafish
NTHL1,1,54178703,zebrafish
CABZ01067150.2,1,54194801,zebrafish
TSC2,1,54199406,zebrafish
STK16,1,5422439,zebrafish
PKD1A,1,54282042,zebrafish
CABZ01043826.1,1,54411669,zebrafish
MNX2B,1,5449870,zebrafish
SI:CH211-202H22.10,1,54606354,zebrafish
TEKT4,1,54613757,zebrafish
SI:CH211-202H22.9,1,54626491,zebrafish
SI:CH211-202H22.8,1,54638793,zebrafish
SI:CH211-202H22.7,1,54655160,zebrafish
GPRC5BB,1,54677173,zebrafish
KNOP1,1,54687616,zebrafish
EXOSC1,1,54700657,zebrafish
PGAM1B,1,54707667,zebrafish
CDC25D,1,54721240,zebrafish
PI4K2A,1,54737406,zebrafish
SI:CH211-197K17.3,1,54758575,zebrafish
NLRC6,1,54773877,zebrafish
SI:CH211-196H16.4,1,54835131,zebrafish
ATIC,1,5485799,zebrafish
SI:CH211-196H16.5,1,54871725,zebrafish
ZFYVE27,1,54901028,zebrafish
GOLGA7BA,1,54908895,zebrafish
CRTAC1A,1,54934612,zebrafish
R3HCC1L,1,54952540,zebrafish
KHSRP,1,54967392,zebrafish
SLC25A23A,1,54974191,zebrafish
SI:CH211-196H16.12,1,55002583,zebrafish
ZGC:136864,1,55007272,zebrafish
VPS54,1,55011549,zebrafish
FN1B,1,5504128,zebrafish
PELI1A,1,55044658,zebrafish
LGALSLA,1,55080797,zebrafish
AFTPHA,1,55104376,zebrafish
SERTAD2A,1,55113320,zebrafish
RAB1AA,1,55124296,zebrafish
MB,1,55137943,zebrafish
PANE1,1,55161235,zebrafish
ZGC:158803,1,55169130,zebrafish
MRI1,1,55191151,zebrafish
CC2D1A,1,55215787,zebrafish
CU571081.1,1,552275,zebrafish
SI:CH211-286B5.2,1,55239710,zebrafish
NANOS3,1,55247370,zebrafish
SI:CH211-286B5.4,1,55256346,zebrafish
SI:CH211-286B5.5,1,55264054,zebrafish
BX284640.1,1,55264712,zebrafish
SI:CH211-286B5.6,1,55279124,zebrafish
ZGC:172106,1,55294009,zebrafish
SI:CH211-286B5.8,1,55304374,zebrafish
SI:CH211-286B5.9,1,55348537,zebrafish
CR788255.1,1,55452892,zebrafish
SI:DKEY-9C18.3,1,55476002,zebrafish
ADGRE9,1,55478653,zebrafish
ADGRE16,1,55535827,zebrafish
ADGRE15,1,55563532,zebrafish
ADGRE19,1,55583116,zebrafish
UMOD,1,55600504,zebrafish
ADGRE18,1,55608520,zebrafish
ADGRE7,1,55643198,zebrafish
ADGRE8,1,55662491,zebrafish
ADGRE6,1,55703120,zebrafish
ADGRE17,1,55723870,zebrafish
ADGRE10,1,55730205,zebrafish
DNAJB1B,1,55745878,zebrafish
TECRB,1,55758257,zebrafish
CPO,1,5576151,zebrafish
NDUFB7,1,55780128,zebrafish
ZGC:136908,1,55786986,zebrafish
SAMD1B,1,55817653,zebrafish
PRKACAB,1,55843552,zebrafish
ASF1BB,1,55878113,zebrafish
SI:CH73-343L4.8,1,55891376,zebrafish
SI:CH73-343L4.5,1,55908578,zebrafish
SI:CH73-343L4.6,1,55920864,zebrafish
SI:CH73-343L4.3,1,55925810,zebrafish
SI:CH73-343L4.2,1,55938565,zebrafish
SI:CH73-343L4.1,1,55947389,zebrafish
C3A.4,1,55997173,zebrafish
C3A.6,1,56056782,zebrafish
C3A.5,1,56107522,zebrafish
C3A.1,1,56130222,zebrafish
CRB3B,1,56180416,zebrafish
SI:DKEY-76B14.2,1,56203359,zebrafish
ZGC:65894,1,56217388,zebrafish
C3A.2,1,56229674,zebrafish
C3A.3,1,56274613,zebrafish
GCGRB,1,56344651,zebrafish
FO905027.1,1,56413733,zebrafish
SLC25A10,1,56421754,zebrafish
CABZ01059392.1,1,56447107,zebrafish
ZGC:171452,1,56463494,zebrafish
CABZ01059403.1,1,56520836,zebrafish
CABZ01059406.1,1,56533355,zebrafish
CABZ01059407.1,1,56546605,zebrafish
CABZ01059408.1,1,56553900,zebrafish
LO018605.1,1,56595955,zebrafish
FO681314.1,1,56714284,zebrafish
CABZ01049361.1,1,56755536,zebrafish
CABZ01049362.1,1,56768263,zebrafish
FO680692.1,1,56779495,zebrafish
SI:CH211-1F22.3,1,56801021,zebrafish
SI:DKEY-27J5.6,1,56813845,zebrafish
SI:CH211-1F22.5,1,56823437,zebrafish
SI:CH211-152F2.1,1,56843411,zebrafish
SI:CH211-1F22.6,1,56852400,zebrafish
SI:CH211-1F22.7,1,56859745,zebrafish
SI:CH211-152F2.2,1,56873359,zebrafish
SI:CH211-1F22.8,1,56886230,zebrafish
SI:CH211-152F2.3,1,56900580,zebrafish
SI:CH211-1F22.9,1,56919742,zebrafish
SI:CH211-152F2.4,1,56929873,zebrafish
SI:CH211-1F22.1,1,56943492,zebrafish
SI:CH211-1F22.2,1,56950797,zebrafish
SI:CH211-1F22.10,1,56955349,zebrafish
SI:CH211-1F22.11,1,56972616,zebrafish
SI:CH211-1F22.12,1,56992262,zebrafish
SI:CH211-1F22.13,1,57004178,zebrafish
SI:CH211-1F22.16,1,57040472,zebrafish
SI:CH211-1F22.14,1,57050899,zebrafish
SI:CH73-94K4.1,1,57118783,zebrafish
SI:CH73-94K4.4,1,57145072,zebrafish
SI:CH73-94K4.5,1,57151926,zebrafish
RAC1L,1,57170145,zebrafish
SI:DKEY-27J5.9,1,57187794,zebrafish
SI:DKEY-27J5.11,1,57198387,zebrafish
SI:DKEY-27J5.10,1,57218303,zebrafish
SI:DKEY-27J5.7,1,57235896,zebrafish
SI:DKEY-27J5.5,1,57277945,zebrafish
NRP2A,1,5728350,zebrafish
MYCBPAP,1,57311901,zebrafish
EPN3B,1,57331829,zebrafish
B3GNTL1,1,57348756,zebrafish
METRNLB,1,57371555,zebrafish
ZGC:171470,1,57497959,zebrafish
TSPAN34,1,57521361,zebrafish
ZMP:0000001289,1,57620964,zebrafish
LO018597.1,1,57741577,zebrafish
LO018597.2,1,57744400,zebrafish
SI:DKEY-1C7.1,1,57749246,zebrafish
SI:DKEY-1C7.2,1,57787642,zebrafish
SI:DKEY-1C7.3,1,57831922,zebrafish
SI:DKEY-156M2.3,1,57966831,zebrafish
SI:CH211-114L13.12,1,57981823,zebrafish
PARD3BA,1,5798548,zebrafish
SI:CH211-114L13.9,1,57997535,zebrafish
NXNL1,1,58005222,zebrafish
COLGALT1,1,58013076,zebrafish
TRIM35-1,1,58039551,zebrafish
CASPB,1,58051432,zebrafish
SI:CH211-114L13.4,1,58067815,zebrafish
SI:CH211-114L13.13,1,58079053,zebrafish
SI:CH211-114L13.1,1,58094551,zebrafish
CASPBL,1,58106338,zebrafish
SI:CH211-15J1.5,1,58116900,zebrafish
SI:CH211-15J1.4,1,58137020,zebrafish
SI:CH211-15J1.3,1,58150000,zebrafish
SI:CH211-15J1.7,1,58176023,zebrafish
SI:CH211-15J1.1,1,58182400,zebrafish
SI:DKEY-222H21.11,1,58194268,zebrafish
SI:DKEY-222H21.12,1,58205904,zebrafish
SI:DKEY-222H21.9,1,58228542,zebrafish
GGT1L2.2,1,58242498,zebrafish
SI:DKEY-222H21.8,1,58260886,zebrafish
SI:DKEY-222H21.7,1,58282449,zebrafish
SI:DKEY-222H21.6,1,58290933,zebrafish
SI:DKEY-222H21.10,1,58312680,zebrafish
SI:DKEY-222H21.3,1,58323980,zebrafish
GGT1L2.1,1,58332000,zebrafish
SI:DKEY-222H21.2,1,58353661,zebrafish
SI:DKEY-222H21.1,1,58360935,zebrafish
CU914631.1,1,58375871,zebrafish
SI:CH73-59P9.2,1,58400409,zebrafish
SI:CH73-236C18.3,1,58424507,zebrafish
SI:CH73-236C18.5,1,58456494,zebrafish
